./instances/ruiz/json/n20m2-01.json,612,612,612,612,612,612,612
./instances/ruiz/json/n20m2-02.json,627,627,627,627,627,627,627
./instances/ruiz/json/n20m2-03.json,568,568,568,568,568,568,568
./instances/ruiz/json/n20m2-04.json,522,522,522,522,522,522,522
./instances/ruiz/json/n20m2-05.json,379,379,379,379,379,379,375
./instances/ruiz/json/n20m2-06.json,324,324,324,324,324,324,324
./instances/ruiz/json/n20m2-07.json,462,462,462,462,462,462,462
./instances/ruiz/json/n20m2-08.json,387,387,387,389,389,389,389
./instances/ruiz/json/n20m4-01.json,640,640,640,640,640,640,640
./instances/ruiz/json/n20m4-02.json,692,692,692,692,692,692,692
./instances/ruiz/json/n20m4-03.json,534,534,534,534,534,534,534
./instances/ruiz/json/n20m4-04.json,627,627,627,627,627,627,627
./instances/ruiz/json/n20m4-05.json,621,621,621,621,621,621,621
./instances/ruiz/json/n20m4-06.json,344,344,344,344,344,344,344
./instances/ruiz/json/n20m4-07.json,308,308,308,308,308,308,308
./instances/ruiz/json/n20m4-08.json,409,409,409,409,409,409,409
./instances/ruiz/json/n20m8-01.json,953,953,953,953,953,953,953
./instances/ruiz/json/n20m8-02.json,925,925,925,925,925,925,925
./instances/ruiz/json/n20m8-03.json,834,834,834,834,834,834,831
./instances/ruiz/json/n20m8-04.json,816,816,816,816,816,816,816
./instances/ruiz/json/n20m8-05.json,920,920,920,920,920,920,920
./instances/ruiz/json/n20m8-06.json,555,555,555,555,555,555,555
./instances/ruiz/json/n20m8-07.json,599,599,599,599,599,599,599
./instances/ruiz/json/n20m8-08.json,564,564,564,564,564,564,564
./instances/ruiz/json/n50m2-01.json,1172,1172,1172,1144,1143,1143,1144
./instances/ruiz/json/n50m2-02.json,1254,1254,1254,1247,1247,1247,1255
./instances/ruiz/json/n50m2-03.json,1272,1272,1272,1272,1272,1272,1272
./instances/ruiz/json/n50m2-04.json,1252,1252,1252,1240,1240,1240,1240
./instances/ruiz/json/n50m2-05.json,1160,1160,1160,1160,1160,1160,1160
./instances/ruiz/json/n50m2-06.json,825,825,825,816,816,816,816
./instances/ruiz/json/n50m2-07.json,1144,1144,1149,1149,1149,1146,1149
./instances/ruiz/json/n50m2-08.json,768,768,768,768,768,768,768
./instances/ruiz/json/n50m4-01.json,1410,1406,1410,1393,1393,1393,1393
./instances/ruiz/json/n50m4-02.json,1313,1313,1313,1313,1313,1313,1313
./instances/ruiz/json/n50m4-03.json,1406,1406,1406,1406,1406,1406,1406
./instances/ruiz/json/n50m4-04.json,1425,1425,1425,1425,1425,1425,1425
./instances/ruiz/json/n50m4-05.json,1344,1344,1344,1344,1344,1344,1344
./instances/ruiz/json/n50m4-06.json,904,904,904,904,904,904,904
./instances/ruiz/json/n50m4-07.json,942,942,942,942,942,942,942
./instances/ruiz/json/n50m4-08.json,884,884,884,884,884,884,885
./instances/ruiz/json/n50m8-01.json,1619,1619,1619,1619,1619,1619,1619
./instances/ruiz/json/n50m8-02.json,1861,1861,1861,1861,1861,1861,1861
./instances/ruiz/json/n50m8-03.json,1707,1707,1707,1707,1707,1707,1707
./instances/ruiz/json/n50m8-04.json,1794,1797,1796,1797,1796,1794,1797
./instances/ruiz/json/n50m8-05.json,1826,1826,1826,1826,1826,1826,1826
./instances/ruiz/json/n50m8-06.json,959,959,959,959,959,959,959
./instances/ruiz/json/n50m8-07.json,1087,1087,1087,1087,1087,1087,1087
./instances/ruiz/json/n50m8-08.json,969,969,969,969,969,969,969
